[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2233, 832, 0.01 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2234, 847, 0.03 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2235, 549, 0.06 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2236, 825, 0.03 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2237, 549, 0.04 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2238, 520, 0.07 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2239, 812, 0.02 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2240, 695, 0.07 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2241, 647, 0.07 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2242, 353, 0.73 
[TRACE] 2024-04-07 11:38:21.140 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2243, 506, 2.25 
